DBGDIDR : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0000{, {#}000}
ADDR=0x30c83 NAME=ICV_BPR0_EL1 PAR=#0x3,#0x0,cc,c8,#0x3 : MSR ICC_BPR0_EL1, <Xt>
ADDR=0x30c84 NAME=ICC_AP0R0_EL1 PAR=#0x3,#0x0,cc,c8,#0x4 : MRS <Xt>, ICC_AP0R0_EL1
ADDR=0x30c85 NAME=ICC_AP0R1_EL1 PAR=#0x3,#0x0,cc,c8,#0x5 : MRS <Xt>, ICC_AP0R1_EL1
ADDR=0x30c86 NAME=ICC_AP0R2_EL1 PAR=#0x3,#0x0,cc,c8,#0x6 : MRS <Xt>, ICC_AP0R2_EL1
ADDR=0x30c87 NAME=ICC_AP0R3_EL1 PAR=#0x3,#0x0,cc,c8,#0x7 : MRS <Xt>, ICC_AP0R3_EL1
ADDR=0x30c84 NAME=ICC_AP0R0_EL1 PAR=#0x3,#0x0,cc,c8,#0x4 : MSR ICC_AP0R0_EL1, <Xt>
ADDR=0x30c85 NAME=ICC_AP0R1_EL1 PAR=#0x3,#0x0,cc,c8,#0x5 : MSR ICC_AP0R1_EL1, <Xt>
ADDR=0x30c86 NAME=ICC_AP0R2_EL1 PAR=#0x3,#0x0,cc,c8,#0x6 : MSR ICC_AP0R2_EL1, <Xt>
ADDR=0x30c87 NAME=ICC_AP0R3_EL1 PAR=#0x3,#0x0,cc,c8,#0x7 : MSR ICC_AP0R3_EL1, <Xt>
ADDR=0x30c84 NAME=ICC_AP0R0_EL1 PAR=#0x3,#0x0,cc,c8,#0x4 : MRS <Xt>, ICC_AP0R0_EL1
ADDR=0x30c85 NAME=ICC_AP0R1_EL1 PAR=#0x3,#0x0,cc,c8,#0x5 : MRS <Xt>, ICC_AP0R1_EL1
ADDR=0x30c86 NAME=ICC_AP0R2_EL1 PAR=#0x3,#0x0,cc,c8,#0x6 : MRS <Xt>, ICC_AP0R2_EL1
ADDR=0x30c87 NAME=ICC_AP0R3_EL1 PAR=#0x3,#0x0,cc,c8,#0x7 : MRS <Xt>, ICC_AP0R3_EL1
ADDR=0x30c84 NAME=ICC_AP0R0_EL1 PAR=#0x3,#0x0,cc,c8,#0x4 : MSR ICC_AP0R0_EL1, <Xt>
ADDR=0x30c85 NAME=ICC_AP0R1_EL1 PAR=#0x3,#0x0,cc,c8,#0x5 : MSR ICC_AP0R1_EL1, <Xt>
ADDR=0x30c86 NAME=ICC_AP0R2_EL1 PAR=#0x3,#0x0,cc,c8,#0x6 : MSR ICC_AP0R2_EL1, <Xt>
ADDR=0x30c87 NAME=ICC_AP0R3_EL1 PAR=#0x3,#0x0,cc,c8,#0x7 : MSR ICC_AP0R3_EL1, <Xt>
ADDR=0x30c84 NAME=ICC_AP0R0_EL1 PAR=#0x3,#0x0,cc,c8,#0x4 : MRS <Xt>, ICC_AP0R0_EL1
ADDR=0x30c85 NAME=ICC_AP0R1_EL1 PAR=#0x3,#0x0,cc,c8,#0x5 : MRS <Xt>, ICC_AP0R1_EL1
ADDR=0x30c86 NAME=ICC_AP0R2_EL1 PAR=#0x3,#0x0,cc,c8,#0x6 : MRS <Xt>, ICC_AP0R2_EL1
ADDR=0x30c87 NAME=ICC_AP0R3_EL1 PAR=#0x3,#0x0,cc,c8,#0x7 : MRS <Xt>, ICC_AP0R3_EL1
ADDR=0x30c84 NAME=ICC_AP0R0_EL1 PAR=#0x3,#0x0,cc,c8,#0x4 : MSR ICC_AP0R0_EL1, <Xt>
ADDR=0x30c85 NAME=ICC_AP0R1_EL1 PAR=#0x3,#0x0,cc,c8,#0x5 : MSR ICC_AP0R1_EL1, <Xt>
ADDR=0x30c86 NAME=ICC_AP0R2_EL1 PAR=#0x3,#0x0,cc,c8,#0x6 : MSR ICC_AP0R2_EL1, <Xt>
ADDR=0x30c87 NAME=ICC_AP0R3_EL1 PAR=#0x3,#0x0,cc,c8,#0x7 : MSR ICC_AP0R3_EL1, <Xt>
ADDR=0x30c84 NAME=ICC_AP0R0_EL1 PAR=#0x3,#0x0,cc,c8,#0x4 : MRS <Xt>, ICC_AP0R0_EL1
ADDR=0x30c85 NAME=ICC_AP0R1_EL1 PAR=#0x3,#0x0,cc,c8,#0x5 : MRS <Xt>, ICC_AP0R1_EL1
ADDR=0x30c86 NAME=ICC_AP0R2_EL1 PAR=#0x3,#0x0,cc,c8,#0x6 : MRS <Xt>, ICC_AP0R2_EL1
ADDR=0x30c87 NAME=ICC_AP0R3_EL1 PAR=#0x3,#0x0,cc,c8,#0x7 : MRS <Xt>, ICC_AP0R3_EL1
ADDR=0x30c84 NAME=ICC_AP0R0_EL1 PAR=#0x3,#0x0,cc,c8,#0x4 : MSR ICC_AP0R0_EL1, <Xt>
ADDR=0x30c85 NAME=ICC_AP0R1_EL1 PAR=#0x3,#0x0,cc,c8,#0x5 : MSR ICC_AP0R1_EL1, <Xt>
ADDR=0x30c86 NAME=ICC_AP0R2_EL1 PAR=#0x3,#0x0,cc,c8,#0x6 : MSR ICC_AP0R2_EL1, <Xt>
ADDR=0x30c87 NAME=ICC_AP0R3_EL1 PAR=#0x3,#0x0,cc,c8,#0x7 : MSR ICC_AP0R3_EL1, <Xt>
ADDR=0x30c90 NAME=ICC_AP1R0_EL1 PAR=#0x3,#0x0,cc,c9,#0x0 : MRS <Xt>, ICC_AP1R0_EL1
ADDR=0x30c91 NAME=ICC_AP1R1_EL1 PAR=#0x3,#0x0,cc,c9,#0x1 : MRS <Xt>, ICC_AP1R1_EL1
ADDR=0x30c92 NAME=ICC_AP1R2_EL1 PAR=#0x3,#0x0,cc,c9,#0x2 : MRS <Xt>, ICC_AP1R2_EL1
ADDR=0x30c93 NAME=ICC_AP1R3_EL1 PAR=#0x3,#0x0,cc,c9,#0x3 : MRS <Xt>, ICC_AP1R3_EL1
ADDR=0x30c90 NAME=ICC_AP1R0_EL1 PAR=#0x3,#0x0,cc,c9,#0x0 : MSR ICC_AP1R0_EL1, <Xt>
ADDR=0x30c91 NAME=ICC_AP1R1_EL1 PAR=#0x3,#0x0,cc,c9,#0x1 : MSR ICC_AP1R1_EL1, <Xt>
ADDR=0x30c92 NAME=ICC_AP1R2_EL1 PAR=#0x3,#0x0,cc,c9,#0x2 : MSR ICC_AP1R2_EL1, <Xt>
ADDR=0x30c93 NAME=ICC_AP1R3_EL1 PAR=#0x3,#0x0,cc,c9,#0x3 : MSR ICC_AP1R3_EL1, <Xt>
ADDR=0x30c90 NAME=ICC_AP1R0_EL1 PAR=#0x3,#0x0,cc,c9,#0x0 : MRS <Xt>, ICC_AP1R0_EL1
ADDR=0x30c91 NAME=ICC_AP1R1_EL1 PAR=#0x3,#0x0,cc,c9,#0x1 : MRS <Xt>, ICC_AP1R1_EL1
ADDR=0x30c92 NAME=ICC_AP1R2_EL1 PAR=#0x3,#0x0,cc,c9,#0x2 : MRS <Xt>, ICC_AP1R2_EL1
ADDR=0x30c93 NAME=ICC_AP1R3_EL1 PAR=#0x3,#0x0,cc,c9,#0x3 : MRS <Xt>, ICC_AP1R3_EL1
ADDR=0x30c90 NAME=ICC_AP1R0_EL1 PAR=#0x3,#0x0,cc,c9,#0x0 : MSR ICC_AP1R0_EL1, <Xt>
ADDR=0x30c91 NAME=ICC_AP1R1_EL1 PAR=#0x3,#0x0,cc,c9,#0x1 : MSR ICC_AP1R1_EL1, <Xt>
ADDR=0x30c92 NAME=ICC_AP1R2_EL1 PAR=#0x3,#0x0,cc,c9,#0x2 : MSR ICC_AP1R2_EL1, <Xt>
ADDR=0x30c93 NAME=ICC_AP1R3_EL1 PAR=#0x3,#0x0,cc,c9,#0x3 : MSR ICC_AP1R3_EL1, <Xt>
ADDR=0x30c90 NAME=ICC_AP1R0_EL1 PAR=#0x3,#0x0,cc,c9,#0x0 : MRS <Xt>, ICC_AP1R0_EL1
ADDR=0x30c91 NAME=ICC_AP1R1_EL1 PAR=#0x3,#0x0,cc,c9,#0x1 : MRS <Xt>, ICC_AP1R1_EL1
ADDR=0x30c92 NAME=ICC_AP1R2_EL1 PAR=#0x3,#0x0,cc,c9,#0x2 : MRS <Xt>, ICC_AP1R2_EL1
ADDR=0x30c93 NAME=ICC_AP1R3_EL1 PAR=#0x3,#0x0,cc,c9,#0x3 : MRS <Xt>, ICC_AP1R3_EL1
ADDR=0x30c90 NAME=ICC_AP1R0_EL1 PAR=#0x3,#0x0,cc,c9,#0x0 : MSR ICC_AP1R0_EL1, <Xt>
ADDR=0x30c91 NAME=ICC_AP1R1_EL1 PAR=#0x3,#0x0,cc,c9,#0x1 : MSR ICC_AP1R1_EL1, <Xt>
ADDR=0x30c92 NAME=ICC_AP1R2_EL1 PAR=#0x3,#0x0,cc,c9,#0x2 : MSR ICC_AP1R2_EL1, <Xt>
ADDR=0x30c93 NAME=ICC_AP1R3_EL1 PAR=#0x3,#0x0,cc,c9,#0x3 : MSR ICC_AP1R3_EL1, <Xt>
ADDR=0x30c90 NAME=ICC_AP1R0_EL1 PAR=#0x3,#0x0,cc,c9,#0x0 : MRS <Xt>, ICC_AP1R0_EL1
ADDR=0x30c91 NAME=ICC_AP1R1_EL1 PAR=#0x3,#0x0,cc,c9,#0x1 : MRS <Xt>, ICC_AP1R1_EL1
ADDR=0x30c92 NAME=ICC_AP1R2_EL1 PAR=#0x3,#0x0,cc,c9,#0x2 : MRS <Xt>, ICC_AP1R2_EL1
ADDR=0x30c93 NAME=ICC_AP1R3_EL1 PAR=#0x3,#0x0,cc,c9,#0x3 : MRS <Xt>, ICC_AP1R3_EL1
ADDR=0x30c90 NAME=ICC_AP1R0_EL1 PAR=#0x3,#0x0,cc,c9,#0x0 : MSR ICC_AP1R0_EL1, <Xt>
ADDR=0x30c91 NAME=ICC_AP1R1_EL1 PAR=#0x3,#0x0,cc,c9,#0x1 : MSR ICC_AP1R1_EL1, <Xt>
ADDR=0x30c92 NAME=ICC_AP1R2_EL1 PAR=#0x3,#0x0,cc,c9,#0x2 : MSR ICC_AP1R2_EL1, <Xt>
ADDR=0x30c93 NAME=ICC_AP1R3_EL1 PAR=#0x3,#0x0,cc,c9,#0x3 : MSR ICC_AP1R3_EL1, <Xt>
ADDR=0x30c90 NAME=ICC_AP1R0_EL1 PAR=#0x3,#0x0,cc,c9,#0x0 : MRS <Xt>, ICC_AP1R0_EL1
ADDR=0x30c91 NAME=ICC_AP1R1_EL1 PAR=#0x3,#0x0,cc,c9,#0x1 : MRS <Xt>, ICC_AP1R1_EL1
ADDR=0x30c92 NAME=ICC_AP1R2_EL1 PAR=#0x3,#0x0,cc,c9,#0x2 : MRS <Xt>, ICC_AP1R2_EL1
ADDR=0x30c93 NAME=ICC_AP1R3_EL1 PAR=#0x3,#0x0,cc,c9,#0x3 : MRS <Xt>, ICC_AP1R3_EL1
ADDR=0x30c90 NAME=ICC_AP1R0_EL1 PAR=#0x3,#0x0,cc,c9,#0x0 : MSR ICC_AP1R0_EL1, <Xt>
ADDR=0x30c91 NAME=ICC_AP1R1_EL1 PAR=#0x3,#0x0,cc,c9,#0x1 : MSR ICC_AP1R1_EL1, <Xt>
ADDR=0x30c92 NAME=ICC_AP1R2_EL1 PAR=#0x3,#0x0,cc,c9,#0x2 : MSR ICC_AP1R2_EL1, <Xt>
ADDR=0x30c93 NAME=ICC_AP1R3_EL1 PAR=#0x3,#0x0,cc,c9,#0x3 : MSR ICC_AP1R3_EL1, <Xt>
ADDR=0x30c90 NAME=ICC_AP1R0_EL1 PAR=#0x3,#0x0,cc,c9,#0x0 : MRS <Xt>, ICC_AP1R0_EL1
ADDR=0x30c91 NAME=ICC_AP1R1_EL1 PAR=#0x3,#0x0,cc,c9,#0x1 : MRS <Xt>, ICC_AP1R1_EL1
ADDR=0x30c92 NAME=ICC_AP1R2_EL1 PAR=#0x3,#0x0,cc,c9,#0x2 : MRS <Xt>, ICC_AP1R2_EL1
ADDR=0x30c93 NAME=ICC_AP1R3_EL1 PAR=#0x3,#0x0,cc,c9,#0x3 : MRS <Xt>, ICC_AP1R3_EL1
ADDR=0x30c90 NAME=ICC_AP1R0_EL1 PAR=#0x3,#0x0,cc,c9,#0x0 : MSR ICC_AP1R0_EL1, <Xt>
ADDR=0x30c91 NAME=ICC_AP1R1_EL1 PAR=#0x3,#0x0,cc,c9,#0x1 : MSR ICC_AP1R1_EL1, <Xt>
ADDR=0x30c92 NAME=ICC_AP1R2_EL1 PAR=#0x3,#0x0,cc,c9,#0x2 : MSR ICC_AP1R2_EL1, <Xt>
ADDR=0x30c93 NAME=ICC_AP1R3_EL1 PAR=#0x3,#0x0,cc,c9,#0x3 : MSR ICC_AP1R3_EL1, <Xt>
ADDR=0x30c90 NAME=ICC_AP1R0_EL1 PAR=#0x3,#0x0,cc,c9,#0x0 : MRS <Xt>, ICC_AP1R0_EL1
ADDR=0x30c91 NAME=ICC_AP1R1_EL1 PAR=#0x3,#0x0,cc,c9,#0x1 : MRS <Xt>, ICC_AP1R1_EL1
ADDR=0x30c92 NAME=ICC_AP1R2_EL1 PAR=#0x3,#0x0,cc,c9,#0x2 : MRS <Xt>, ICC_AP1R2_EL1
ADDR=0x30c93 NAME=ICC_AP1R3_EL1 PAR=#0x3,#0x0,cc,c9,#0x3 : MRS <Xt>, ICC_AP1R3_EL1
ADDR=0x30c90 NAME=ICC_AP1R0_EL1 PAR=#0x3,#0x0,cc,c9,#0x0 : MSR ICC_AP1R0_EL1, <Xt>
ADDR=0x30c91 NAME=ICC_AP1R1_EL1 PAR=#0x3,#0x0,cc,c9,#0x1 : MSR ICC_AP1R1_EL1, <Xt>
ADDR=0x30c92 NAME=ICC_AP1R2_EL1 PAR=#0x3,#0x0,cc,c9,#0x2 : MSR ICC_AP1R2_EL1, <Xt>
ADDR=0x30c93 NAME=ICC_AP1R3_EL1 PAR=#0x3,#0x0,cc,c9,#0x3 : MSR ICC_AP1R3_EL1, <Xt>
ADDR=0x30c90 NAME=ICC_AP1R0_EL1 PAR=#0x3,#0x0,cc,c9,#0x0 : MRS <Xt>, ICC_AP1R0_EL1
ADDR=0x30c91 NAME=ICC_AP1R1_EL1 PAR=#0x3,#0x0,cc,c9,#0x1 : MRS <Xt>, ICC_AP1R1_EL1
ADDR=0x30c92 NAME=ICC_AP1R2_EL1 PAR=#0x3,#0x0,cc,c9,#0x2 : MRS <Xt>, ICC_AP1R2_EL1
ADDR=0x30c93 NAME=ICC_AP1R3_EL1 PAR=#0x3,#0x0,cc,c9,#0x3 : MRS <Xt>, ICC_AP1R3_EL1
ADDR=0x30c90 NAME=ICC_AP1R0_EL1 PAR=#0x3,#0x0,cc,c9,#0x0 : MSR ICC_AP1R0_EL1, <Xt>
ADDR=0x30c91 NAME=ICC_AP1R1_EL1 PAR=#0x3,#0x0,cc,c9,#0x1 : MSR ICC_AP1R1_EL1, <Xt>
ADDR=0x30c92 NAME=ICC_AP1R2_EL1 PAR=#0x3,#0x0,cc,c9,#0x2 : MSR ICC_AP1R2_EL1, <Xt>
ADDR=0x30c93 NAME=ICC_AP1R3_EL1 PAR=#0x3,#0x0,cc,c9,#0x3 : MSR ICC_AP1R3_EL1, <Xt>
ADDR=0x30c95 NAME=ICC_NMIAR1_EL1 PAR=#0x3,#0x0,cc,c9,#0x5 : MRS <Xt>, ICC_NMIAR1_EL1
ADDR=0x30c95 NAME=ICV_NMIAR1_EL1 PAR=#0x3,#0x0,cc,c9,#0x5 : MRS <Xt>, ICC_NMIAR1_EL1
ADDR=0x30c95 NAME=ICC_NMIAR1_EL1 PAR=#0x3,#0x0,cc,c9,#0x5 : MRS <Xt>, ICC_NMIAR1_EL1
ADDR=0x30c95 NAME=ICV_NMIAR1_EL1 PAR=#0x3,#0x0,cc,c9,#0x5 : MRS <Xt>, ICC_NMIAR1_EL1
ADDR=0x30cb1 NAME=ICC_DIR_EL1 PAR=#0x3,#0x0,cc,cb,#0x1 : MSR ICC_DIR_EL1, <Xt>
ADDR=0x30cb1 NAME=ICV_DIR_EL1 PAR=#0x3,#0x0,cc,cb,#0x1 : MSR ICC_DIR_EL1, <Xt>
ADDR=0x30cb1 NAME=ICC_DIR_EL1 PAR=#0x3,#0x0,cc,cb,#0x1 : MSR ICC_DIR_EL1, <Xt>
ADDR=0x30cb1 NAME=ICV_DIR_EL1 PAR=#0x3,#0x0,cc,cb,#0x1 : MSR ICC_DIR_EL1, <Xt>
ADDR=0x30cb3 NAME=ICC_RPR_EL1 PAR=#0x3,#0x0,cc,cb,#0x3 : MRS <Xt>, ICC_RPR_EL1
ADDR=0x30cb3 NAME=ICV_RPR_EL1 PAR=#0x3,#0x0,cc,cb,#0x3 : MRS <Xt>, ICC_RPR_EL1
ADDR=0x30cb3 NAME=ICC_RPR_EL1 PAR=#0x3,#0x0,cc,cb,#0x3 : MRS <Xt>, ICC_RPR_EL1
ADDR=0x30cb3 NAME=ICV_RPR_EL1 PAR=#0x3,#0x0,cc,cb,#0x3 : MRS <Xt>, ICC_RPR_EL1
ADDR=0x30cb5 NAME=ICC_SGI1R_EL1 PAR=#0x3,#0x0,cc,cb,#0x5 : MSR ICC_SGI1R_EL1, <Xt>
ADDR=0x30cb6 NAME=ICC_ASGI1R_EL1 PAR=#0x3,#0x0,cc,cb,#0x6 : MSR ICC_ASGI1R_EL1, <Xt>
ADDR=0x30cb7 NAME=ICC_SGI0R_EL1 PAR=#0x3,#0x0,cc,cb,#0x7 : MSR ICC_SGI0R_EL1, <Xt>
ADDR=0x30cc0 NAME=ICC_IAR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x0 : MRS <Xt>, ICC_IAR1_EL1
ADDR=0x30cc0 NAME=ICV_IAR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x0 : MRS <Xt>, ICC_IAR1_EL1
ADDR=0x30cc0 NAME=ICC_IAR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x0 : MRS <Xt>, ICC_IAR1_EL1
ADDR=0x30cc0 NAME=ICV_IAR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x0 : MRS <Xt>, ICC_IAR1_EL1
ADDR=0x30cc1 NAME=ICC_EOIR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x1 : MSR ICC_EOIR1_EL1, <Xt>
ADDR=0x30cc1 NAME=ICV_EOIR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x1 : MSR ICC_EOIR1_EL1, <Xt>
ADDR=0x30cc1 NAME=ICC_EOIR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x1 : MSR ICC_EOIR1_EL1, <Xt>
ADDR=0x30cc1 NAME=ICV_EOIR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x1 : MSR ICC_EOIR1_EL1, <Xt>
ADDR=0x30cc2 NAME=ICC_HPPIR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x2 : MRS <Xt>, ICC_HPPIR1_EL1
ADDR=0x30cc2 NAME=ICV_HPPIR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x2 : MRS <Xt>, ICC_HPPIR1_EL1
ADDR=0x30cc2 NAME=ICC_HPPIR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x2 : MRS <Xt>, ICC_HPPIR1_EL1
ADDR=0x30cc2 NAME=ICV_HPPIR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x2 : MRS <Xt>, ICC_HPPIR1_EL1
ADDR=0x30cc3 NAME=ICC_BPR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x3 : MRS <Xt>, ICC_BPR1_EL1
ADDR=0x30cc3 NAME=ICC_BPR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x3 : MSR ICC_BPR1_EL1, <Xt>
ADDR=0x30cc3 NAME=ICC_BPR1_EL1_NS PAR=#0x3,#0x0,cc,cc,#0x3 : MRS <Xt>, ICC_BPR1_EL1
ADDR=0x30cc3 NAME=ICC_BPR1_EL1_NS PAR=#0x3,#0x0,cc,cc,#0x3 : MSR ICC_BPR1_EL1, <Xt>
ADDR=0x30cc3 NAME=ICC_BPR1_EL1_S PAR=#0x3,#0x0,cc,cc,#0x3 : MRS <Xt>, ICC_BPR1_EL1
ADDR=0x30cc3 NAME=ICC_BPR1_EL1_S PAR=#0x3,#0x0,cc,cc,#0x3 : MSR ICC_BPR1_EL1, <Xt>
ADDR=0x30cc3 NAME=ICV_BPR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x3 : MRS <Xt>, ICC_BPR1_EL1
ADDR=0x30cc3 NAME=ICV_BPR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x3 : MSR ICC_BPR1_EL1, <Xt>
ADDR=0x30cc3 NAME=ICC_BPR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x3 : MRS <Xt>, ICC_BPR1_EL1
ADDR=0x30cc3 NAME=ICC_BPR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x3 : MSR ICC_BPR1_EL1, <Xt>
ADDR=0x30cc3 NAME=ICC_BPR1_EL1_NS PAR=#0x3,#0x0,cc,cc,#0x3 : MRS <Xt>, ICC_BPR1_EL1
ADDR=0x30cc3 NAME=ICC_BPR1_EL1_NS PAR=#0x3,#0x0,cc,cc,#0x3 : MSR ICC_BPR1_EL1, <Xt>
ADDR=0x30cc3 NAME=ICC_BPR1_EL1_S PAR=#0x3,#0x0,cc,cc,#0x3 : MRS <Xt>, ICC_BPR1_EL1
ADDR=0x30cc3 NAME=ICC_BPR1_EL1_S PAR=#0x3,#0x0,cc,cc,#0x3 : MSR ICC_BPR1_EL1, <Xt>
ADDR=0x30cc3 NAME=ICV_BPR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x3 : MRS <Xt>, ICC_BPR1_EL1
ADDR=0x30cc3 NAME=ICV_BPR1_EL1 PAR=#0x3,#0x0,cc,cc,#0x3 : MSR ICC_BPR1_EL1, <Xt>
ADDR=0x30cc4 NAME=ICC_CTLR_EL1 PAR=#0x3,#0x0,cc,cc,#0x4 : MRS <Xt>, ICC_CTLR_EL1
ADDR=0x30cc4 NAME=ICC_CTLR_EL1 PAR=#0x3,#0x0,cc,cc,#0x4 : MSR ICC_CTLR_EL1, <Xt>
ADDR=0x30cc4 NAME=ICC_CTLR_EL1_NS PAR=#0x3,#0x0,cc,cc,#0x4 : MRS <Xt>, ICC_CTLR_EL1
ADDR=0x30cc4 NAME=ICC_CTLR_EL1_NS PAR=#0x3,#0x0,cc,cc,#0x4 : MSR ICC_CTLR_EL1, <Xt>
ADDR=0x30cc4 NAME=ICC_CTLR_EL1_S PAR=#0x3,#0x0,cc,cc,#0x4 : MRS <Xt>, ICC_CTLR_EL1
ADDR=0x30cc4 NAME=ICC_CTLR_EL1_S PAR=#0x3,#0x0,cc,cc,#0x4 : MSR ICC_CTLR_EL1, <Xt>
ADDR=0x30cc4 NAME=ICV_CTLR_EL1 PAR=#0x3,#0x0,cc,cc,#0x4 : MRS <Xt>, ICC_CTLR_EL1
ADDR=0x30cc4 NAME=ICV_CTLR_EL1 PAR=#0x3,#0x0,cc,cc,#0x4 : MSR ICC_CTLR_EL1, <Xt>
ADDR=0x30cc4 NAME=ICC_CTLR_EL1 PAR=#0x3,#0x0,cc,cc,#0x4 : MRS <Xt>, ICC_CTLR_EL1
ADDR=0x30cc4 NAME=ICC_CTLR_EL1 PAR=#0x3,#0x0,cc,cc,#0x4 : MSR ICC_CTLR_EL1, <Xt>
ADDR=0x30cc4 NAME=ICC_CTLR_EL1_NS PAR=#0x3,#0x0,cc,cc,#0x4 : MRS <Xt>, ICC_CTLR_EL1
ADDR=0x30cc4 NAME=ICC_CTLR_EL1_NS PAR=#0x3,#0x0,cc,cc,#0x4 : MSR ICC_CTLR_EL1, <Xt>
ADDR=0x30cc4 NAME=ICC_CTLR_EL1_S PAR=#0x3,#0x0,cc,cc,#0x4 : MRS <Xt>, ICC_CTLR_EL1
ADDR=0x30cc4 NAME=ICC_CTLR_EL1_S PAR=#0x3,#0x0,cc,cc,#0x4 : MSR ICC_CTLR_EL1, <Xt>
ADDR=0x30cc4 NAME=ICV_CTLR_EL1 PAR=#0x3,#0x0,cc,cc,#0x4 : MRS <Xt>, ICC_CTLR_EL1
ADDR=0x30cc4 NAME=ICV_CTLR_EL1 PAR=#0x3,#0x0,cc,cc,#0x4 : MSR ICC_CTLR_EL1, <Xt>
ADDR=0x30cc5 NAME=ICC_SRE_EL1 PAR=#0x3,#0x0,cc,cc,#0x5 : MRS <Xt>, ICC_SRE_EL1
ADDR=0x30cc5 NAME=ICC_SRE_EL1 PAR=#0x3,#0x0,cc,cc,#0x5 : MSR ICC_SRE_EL1, <Xt>
ADDR=0x30cc5 NAME=ICC_SRE_EL1_NS PAR=#0x3,#0x0,cc,cc,#0x5 : MRS <Xt>, ICC_SRE_EL1
ADDR=0x30cc5 NAME=ICC_SRE_EL1_NS PAR=#0x3,#0x0,cc,cc,#0x5 : MSR ICC_SRE_EL1, <Xt>
ADDR=0x30cc5 NAME=ICC_SRE_EL1_S PAR=#0x3,#0x0,cc,cc,#0x5 : MRS <Xt>, ICC_SRE_EL1
ADDR=0x30cc5 NAME=ICC_SRE_EL1_S PAR=#0x3,#0x0,cc,cc,#0x5 : MSR ICC_SRE_EL1, <Xt>
ADDR=0x30cc6 NAME=ICC_IGRPEN0_EL1 PAR=#0x3,#0x0,cc,cc,#0x6 : MRS <Xt>, ICC_IGRPEN0_EL1
ADDR=0x30cc6 NAME=ICC_IGRPEN0_EL1 PAR=#0x3,#0x0,cc,cc,#0x6 : MSR ICC_IGRPEN0_EL1, <Xt>
ADDR=0x30cc6 NAME=ICV_IGRPEN0_EL1 PAR=#0x3,#0x0,cc,cc,#0x6 : MRS <Xt>, ICC_IGRPEN0_EL1
ADDR=0x30cc6 NAME=ICV_IGRPEN0_EL1 PAR=#0x3,#0x0,cc,cc,#0x6 : MSR ICC_IGRPEN0_EL1, <Xt>
ADDR=0x30cc6 NAME=ICC_IGRPEN0_EL1 PAR=#0x3,#0x0,cc,cc,#0x6 : MRS <Xt>, ICC_IGRPEN0_EL1
ADDR=0x30cc6 NAME=ICC_IGRPEN0_EL1 PAR=#0x3,#0x0,cc,cc,#0x6 : MSR ICC_IGRPEN0_EL1, <Xt>
ADDR=0x30cc6 NAME=ICV_IGRPEN0_EL1 PAR=#0x3,#0x0,cc,cc,#0x6 : MRS <Xt>, ICC_IGRPEN0_EL1
ADDR=0x30cc6 NAME=ICV_IGRPEN0_EL1 PAR=#0x3,#0x0,cc,cc,#0x6 : MSR ICC_IGRPEN0_EL1, <Xt>
ADDR=0x30cc7 NAME=ICC_IGRPEN1_EL1 PAR=#0x3,#0x0,cc,cc,#0x7 : MRS <Xt>, ICC_IGRPEN1_EL1
ADDR=0x30cc7 NAME=ICC_IGRPEN1_EL1 PAR=#0x3,#0x0,cc,cc,#0x7 : MSR ICC_IGRPEN1_EL1, <Xt>
ADDR=0x30cc7 NAME=ICC_IGRPEN1_EL1_NS PAR=#0x3,#0x0,cc,cc,#0x7 : MRS <Xt>, ICC_IGRPEN1_EL1
ADDR=0x30cc7 NAME=ICC_IGRPEN1_EL1_NS PAR=#0x3,#0x0,cc,cc,#0x7 : MSR ICC_IGRPEN1_EL1, <Xt>
ADDR=0x30cc7 NAME=ICC_IGRPEN1_EL1_S PAR=#0x3,#0x0,cc,cc,#0x7 : MRS <Xt>, ICC_IGRPEN1_EL1
ADDR=0x30cc7 NAME=ICC_IGRPEN1_EL1_S PAR=#0x3,#0x0,cc,cc,#0x7 : MSR ICC_IGRPEN1_EL1, <Xt>
ADDR=0x30cc7 NAME=ICV_IGRPEN1_EL1 PAR=#0x3,#0x0,cc,cc,#0x7 : MRS <Xt>, ICC_IGRPEN1_EL1
ADDR=0x30cc7 NAME=ICV_IGRPEN1_EL1 PAR=#0x3,#0x0,cc,cc,#0x7 : MSR ICC_IGRPEN1_EL1, <Xt>
